iter	Passed	Remaining
403	8153	12028
404	8171	12005
405	8191	11984
406	8211	11963
407	8230	11941
408	8252	11924
409	8274	11906
410	8291	11882
411	8309	11859
412	8329	11838
413	8350	11819
414	8369	11797
415	8391	11779
416	8414	11764
417	8434	11743
418	8456	11725
419	8476	11705
420	8498	11687
421	8523	11674
422	8548	11660
423	8570	11643
424	8592	11624
425	8617	11611
426	8638	11591
427	8662	11577
428	8683	11557
429	8705	11539
430	8728	11522
431	8752	11507
432	8777	11493
433	8797	11472
434	8819	11455
435	8843	11440
436	8867	11424
437	8893	11410
438	8916	11394
439	8940	11378
440	8963	11361
441	8987	11345
442	9011	11330
443	9036	11315
444	9062	11302
445	9085	11285
446	9109	11269
447	9132	11252
448	9157	11237
449	9185	11226
450	9211	11213
451	9238	11200
452	9266	11189
453	9289	11172
454	9315	11157
455	9338	11140
456	9365	11127
457	9391	11114
458	9417	11100
459	9447	11090
460	9472	11075
461	9499	11062
462	9526	11048
463	9551	11033
464	9577	11019
465	9603	11004
466	9630	10991
467	9660	10981
468	9688	10969
469	9713	10953
470	9741	10941
471	9766	10924
472	9791	10909
473	9815	10892
474	9840	10876
475	9867	10862
476	9890	10843
477	9916	10828
478	9942	10813
479	9967	10798
480	9992	10781
481	10015	10763
482	10039	10746
483	10063	10728
484	10092	10716
485	10118	10701
486	10144	10686
487	10171	10671
488	10194	10653
489	10220	10637
490	10246	10622
491	10272	10606
492	10297	10589
493	10324	10575
494	10351	10560
495	10379	10546
496	10405	10531
497	10431	10515
498	10456	10498
499	10480	10480
500	10503	10461
501	10529	10445
502	10553	10427
503	10578	10410
504	10602	10392
505	10626	10374
506	10652	10358
507	10677	10340
508	10701	10322
509	10724	10303
510	10750	10287
511	10774	10269
512	10801	10254
513	10829	10239
514	10854	10222
515	10880	10205
516	10904	10187
517	10931	10171
518	10958	10155
519	10984	10139
520	11011	10123
521	11039	10109
522	11064	10091
523	11088	10073
524	11113	10054
525	11139	10037
526	11166	10022
527	11200	10012
528	11231	10000
529	11258	9984
530	11284	9966
531	11309	9949
532	11335	9931
533	11365	9918
534	11391	9901
535	11416	9882
536	11443	9866
537	11467	9847
538	11493	9830
539	11521	9814
540	11549	9799
541	11574	9780
542	11601	9764
543	11628	9747
544	11651	9727
545	11676	9708
546	11702	9691
547	11730	9675
548	11758	9659
549	11782	9640
550	11809	9623
551	11834	9604
552	11860	9587
553	11887	9569
554	11913	9552
555	11939	9534
556	11967	9517
557	11994	9501
558	12020	9482
559	12047	9465
560	12071	9446
561	12095	9426
562	12120	9407
563	12145	9388
564	12171	9371
565	12195	9351
566	12219	9331
567	12246	9314
568	12270	9294
569	12295	9275
570	12319	9256
571	12342	9235
572	12370	9218
573	12396	9199
574	12420	9180
575	12447	9162
576	12472	9143
577	12499	9125
578	12528	9109
579	12554	9091
580	12579	9071
581	12606	9054
582	12631	9034
583	12657	9015
584	12681	8996
585	12706	8976
586	12732	8958
587	12757	8939
588	12786	8922
589	12812	8903
590	12837	8884
591	12863	8865
